Number,Neighbourhood,Area,Residential Units,Location,Latitude,Longtitude
1,Airport,41.63,649,"Batu 7, Jalan Lapangan Terbang",5.898035,118.0612049
2,Anggerik,15.828,408,Jalan Lintas Sibuga,5.8613221,118.0372457
3,Astana Height,100.27,483,"Batu 1, Jalan Lalang",5.8535839,118.1169248
4,Berhala Darat,23.2,192,Jalan Sim-Sim,5.8502094,118.1307628
5,Bukit Permai,270.89,4142,"Batu 3 1/2, Jalan Utara",5.8646367,118.0849745
6,Bunga Matahari,11.88,172,"Batu 4, Jalan Utara",5.8658095,118.0758739
7,Casa San Uno,38.89,307,"Batu 4, Jalan Utara",5.8652331,118.0725562
8,Chrysanthemum,11.4,154,"Batu 1 1/2, Jalan Utara",5.8574799,118.1058762
9,Damai & Sri Taman,21.67,123,"Batu 4, Jalan Utara",5.8584821,118.0789209
10,Evergreen,23.99,48,"Batu 6, Jalan Utara",5.8734638,118.0578338
11,Fajar,55.61,572,"Batu 7, Jalan Lapangan Terbang",5.83697575,118.0984632
12,Fajar Perdana,15.03,185,"Batu 7, Jalan Lapangan Terbang",5.8843388,118.0572204
13,Fortune,22.4,126,"Batu 8, Jalan Labuk",5.8855413,118.0309699
14,Fulliwa,19.66,164,"Batu 3 1/2, Jalan Utara",5.8625924,118.0858999
15,Garden Villa,25.76,82,"Batu 6, Jalan Utara",5.8640046,118.0489446
16,Grandview,93,746,"Batu 1 1/2, Jalan Buli Sim-Sim",5.8625122,118.119377
17,Hap Seng Properties,16.35,74,Jalan Batu Sapi,5.8336458,118.0925765
18,Harbour Square,40.08,211,,5.83709965,118.1161889
19,Hing Lee,11.75,227,"Batu 3 1/2, Jalan Utara",5.8620333,118.0902866
20,Hing Wah,27.6,79,"Batu 8, Jalan Labuk",n/a,n/a
21,Hock Seng,4.56,24,,n/a,n/a
22,Hsiang Garden,4.565,140,,5.83749975,118.0994274
23,Indah,56.27,356,"Batu 4, Jalan Utara",5.8420671,118.066095
24,Indah Jaya,235.68,2752,"Batu 4, Jalan Utara",5.843796,118.0672005
25,Jade Garden,1154,8,"Batu 1 1/2, Jalan Utara",5.8621697,118.1103198
26,Kam Jai Yen,8.51,250,"Batu 1, Jalan Aman",5.8493444,118.1102341
27,Karamunting Baru,17.67,40,Jalan Karamunting,5.8103153,118.0726353
28,Karamunting Flat,20.87,513,Jalan Batu Sapi,5.8136144,118.0651274
29,Kenari,3.44,590,"Batu 7, Jalan Lapangan Terbang",5.895072,118.0436593
30,Khong Lok (Hillside),24.809,168,"Batu 7, Jalan Lapangan Terbang",5.8783572,118.0599157
31,LPPB,27.21,984,"Batu 3 1/2, Jalan Utara",5.862075,118.0847773
32,Lucky & Wemin,43.544,260,"Batu 5, Jalan Utara",5.8631125,118.0627675
33,Mawar,175.386,2396,Jalan Sibuga,5.8422155,118.032957
34,Megah,44.94,478,"Batu 8, Jalan Utara",5.87579845,118.0421501
35,Melanta,9.04,143,Jalan Karamunting,5.8101211,118.0795292
36,Melrose,14.58,44,"Batu 3 1/2, Jalan Utara",5.8391337,118.1158919
37,Merpati,154.2,494,"Batu 8, Jalan Lapangan Terbang",5.8891571,118.0425217
38,Mesra,23.18,1000,"Batu 4, Jalan Utara",5.8612709,118.0776639
39,Millennium,6.62,76,"Batu 4, Jalan Tinosan",n/a,n/a
40,Mutiara,64.79,836,"Batu 3, Jalan Utara",5.8549577,118.0875702
41,Nuri (Oscaraya),32.65,837,"Batu 7, Jalan Lapangan Terbang",5.8910941,118.0406896
42,Pak Tak,29.886,148,"Batu 7, Jalan Lapangan Terbang",5.8806866,118.0565125
43,Pecky Valley,36.61,166,"Batu 2 1/2, Jalan Utara",5.8571413,118.1001943
44,Pertama,53.32,438,"Batu 5, Jalan Utara",5.8613392,118.0692765
45,Po Hing,190.17,160,Jalan Batu Sapi,5.8383913,118.0473632
46,Rajawali,154.2,1004,"Batu 8, Jalan Lapangan Terbang",5.8905782,118.039349
47,Regent,3.449,46,"Batu 1, Jalan Utara",5.8391337,118.1158919
48,Ria,3.406,44,"Batu 7, Jalan Lapangan Terbang",5.8387382,118.1163477
49,Rimba,38.98,280,"Batu 7, Jalan Utara",5.8848392,118.0482948
50,Samudera,20.01,586,"Batu 3 1/2, Jalan Utara",5.85579,118.0911537
51,Sanny Estate,34.8,154,"Batu 1 1/2, Jalan Utara",5.8558776,118.1180203
52,Seaview,3.763,152,"Batu 1 1/2, Jalan Utara",5.867749,118.115667
53,Sejati,22.89,1086,"Batu 7, Jalan Lapangan Terbang",5.8879107,118.0562512
54,Sejati Ujana,99.64,1850,"Batu 7, Jalan Lapangan Terbang",5.8915257,118.049406
55,Seletar,65,50,Jalan Lintas Sibuga,5.8381341,118.0453099
56,Sentosa,49.3,928,"Batu 2 1/2, Jalan Utara",5.8563445,118.0981593
57,Seri Labuk,15,178,"Batu 8, Jalan Kampung Melayu",5.8718491,118.0267151
58,Sibuga,102.6,647,Jalan Sibuga,5.871911,118.0480393
59,Sim-Sim Medium Cost Flat,,300,Jalan Sim-Sim,5.8555664,118.126009
60,Sri Pagi,11.411,1485,"Batu 3, Jalan Utara",n/a,n/a
61,Sri Rimba,29.2,414,"Batu 7, Jalan Labuk",5.8856632,118.0473065
62,Sri Wijaya,7.43,16,"Batu 7, Jalan Labuk",n/a,n/a
63,Tai Fai Yin,27.6,160,"Batu 8, Jalan Labuk",5.883818,118.0375091
64,Tinosan,24.51,235,"Batu 4, Jalan Utara",5.8610315,118.0745175
65,Tshun Ngen,70.26,304,"Batu 5, Jalan Utara",5.85872755,118.0658041
66,Tyng,111.7,585,"Batu 5, Jalan Utara",5.8676695,118.0599967
67,Utama,41.263,329,"Batu 6, Jalan Utara",5.8646006,118.0585691
68,Villa Permai Jaya,20,968,Jalan Sibuga,5.8561537,118.0571491
69,Vista,10.7,172,"Batu 7, Jalan Lintas Sibuga",5.8585237,118.0412164
70,Wijaya,6.03,196,"Batu 7, Jalan Labuk",5.8846647,118.0455307
71,Wira,9.93,312,Jalan Sibuga,5.8491882,118.04268
72,Yeng Seng,11.75,125,"Batu 2 1/2, Jalan Utara",5.8588346,118.0980558
73,Yii Villa,1.3,100,Jalan Bulis Sim-Sim,5.8542386,118.1267954
